CODESTUDIANTE,ESTP_FECHAINGRESO,CREDITOSAPROBADOS,UBICACION_SEMESTRAL,PROMEDIO_GENERAL,PROGRAMA,JORNADA,GENERO,FECHA_NACIMIENTO,CODIGOCIUDADR,CIUDADRESIDENCIA,ESTRATO,TIENE_SISBEN,INFE_VIVECONFAMILIA,INFE_SITUACIONPADRES,INFE_NUMEROFAMILIARES,INFE_NUMEROHERMANOS,INFE_POSICIONENHERMANOS,INFE_NUMMIEMBROSTRABAJA
133745,22/01/2021 5:39:05 p. m.,90,5,"3,78",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,6/06/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,0,1,VIVOS Y SEPARADOS,4,1,2,3
133743,22/01/2021 5:39:05 p. m.,57,3,"4,32",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,25/02/2003 12:00:00 a. m.,68406,LEBRIJA,3,1,1,VIVOS Y SEPARADOS,5,3,3,1
133744,22/01/2021 5:39:05 p. m.,82,5,"3,76",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,26/03/2002 12:00:00 a. m.,68276,FLORIDABLANCA,1,1,1,VIVOS Y SEPARADOS,4,3,2,2
133747,22/01/2021 5:39:05 p. m.,108,6,"3,88",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,23/10/2001 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,MADRE VIVA - PADRE DIFUNTO,2,0,0,1
133808,22/01/2021 8:52:42 p. m.,108,6,"4,18",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,16/06/2004 12:00:00 a. m.,68307,GIRON,2,1,1,VIVOS Y CONVIVEN,4,2,1,1
133972,25/01/2021 2:51:27 p. m.,104,6,"3,75",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,16/09/2004 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y SEPARADOS,8,5,4,2
133973,25/01/2021 2:51:27 p. m.,13,1,"3,54",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,29/08/2000 12:00:00 a. m.,68307,GIRON,2,1,1,VIVOS Y SEPARADOS,4,3,1,1
133974,25/01/2021 2:51:27 p. m.,108,6,"3,87",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,18/12/1997 12:00:00 a. m.,68001,BUCARAMANGA,3,1,0,VIVOS Y CONVIVEN,6,3,2,3
133978,25/01/2021 2:51:28 p. m.,45,3,"2,92",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,13/02/2004 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,6,4,4,1
133976,25/01/2021 2:51:28 p. m.,80,5,"3,75",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,4/01/1993 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y SEPARADOS,8,6,6,7
133977,25/01/2021 2:51:28 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,30/05/2003 12:00:00 a. m.,68001,BUCARAMANGA,3,1,1,VIVOS Y CONVIVEN,3,3,4,1
133975,25/01/2021 2:51:28 p. m.,37,2,"3,14",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,31/07/2003 12:00:00 a. m.,68001,BUCARAMANGA,3,1,1,VIVOS Y CONVIVEN,4,2,2,2
134015,25/01/2021 4:55:26 p. m.,108,6,4,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,18/08/2003 12:00:00 a. m.,68276,FLORIDABLANCA,4,0,1,VIVOS Y CONVIVEN,5,2,2,1
134167,25/01/2021 9:54:44 p. m.,45,3,"3,17",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,5/12/1994 12:00:00 a. m.,68001,BUCARAMANGA,2,0,1,PADRE VIVO - MADRE DIFUNTA,5,4,3,5
134164,25/01/2021 9:54:44 p. m.,108,6,"3,86",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,16/01/2003 12:00:00 a. m.,68307,GIRON,1,1,1,VIVOS Y CONVIVEN,5,2,2,2
134163,25/01/2021 9:54:44 p. m.,95,6,"3,67",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,10/10/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,5,2,1,2
134162,25/01/2021 9:54:44 p. m.,31,2,"2,77",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,6/03/2004 12:00:00 a. m.,68406,LEBRIJA,1,1,1,VIVOS Y CONVIVEN,4,3,2,2
134165,25/01/2021 9:54:44 p. m.,108,6,"4,3",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,16/10/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,3,4,4,1
134166,25/01/2021 9:54:44 p. m.,51,3,"3,22",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,30/01/2004 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y CONVIVEN,2,2,2,2
134170,25/01/2021 9:54:45 p. m.,21,2,"4,43",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,25/06/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,4,2,1,1
134171,25/01/2021 9:54:45 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,31/07/2001 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y CONVIVEN,5,7,6,3
134173,25/01/2021 9:54:45 p. m.,106,6,"3,65",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,11/07/2003 12:00:00 a. m.,68307,GIRON,,0,0,,,,,
134236,26/01/2021 5:46:43 p. m.,47,3,"4,07",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,7/01/2001 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y CONVIVEN,4,2,2,1
134248,26/01/2021 6:50:38 p. m.,108,6,"4,01",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,17/10/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,4,1,2,1
134249,26/01/2021 6:50:38 p. m.,10,1,"3,62",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,30/11/2003 12:00:00 a. m.,68780,SURATA,1,1,0,VIVOS Y CONVIVEN,4,1,1,1
134257,26/01/2021 6:50:39 p. m.,27,2,"2,96",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,4/12/2002 12:00:00 a. m.,68547,PIEDECUESTA,3,1,1,VIVOS Y SEPARADOS,4,2,2,2
134256,26/01/2021 6:50:39 p. m.,102,6,"3,72",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,31/10/2003 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y CONVIVEN,5,3,3,1
134255,26/01/2021 6:50:39 p. m.,31,2,"3,09",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,30/04/2002 12:00:00 a. m.,68307,GIRON,1,1,1,MADRE VIVA - PADRE DIFUNTO,2,0,0,1
134254,26/01/2021 6:50:39 p. m.,37,2,"3,41",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,3/04/2003 12:00:00 a. m.,68307,GIRON,2,0,0,,,,,
134250,26/01/2021 6:50:39 p. m.,108,6,"4,01",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,20/09/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,4,2,1,2
134259,26/01/2021 6:50:39 p. m.,104,6,"3,46",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,11/10/2002 12:00:00 a. m.,68895,ZAPATOCA,,0,0,,,,,
134258,26/01/2021 6:50:39 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,6/05/1997 12:00:00 a. m.,68276,FLORIDABLANCA,1,0,0,VIVOS Y SEPARADOS,5,3,2,2
134251,26/01/2021 6:50:39 p. m.,108,6,"3,76",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,24/01/2004 12:00:00 a. m.,68276,FLORIDABLANCA,2,0,1,VIVOS Y CONVIVEN,5,2,3,3
134253,26/01/2021 6:50:39 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,17/03/1999 12:00:00 a. m.,68001,BUCARAMANGA,3,0,1,VIVOS Y SEPARADOS,5,3,2,3
134252,26/01/2021 6:50:39 p. m.,108,6,"4,24",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,19/04/2004 12:00:00 a. m.,68276,FLORIDABLANCA,2,1,1,VIVOS Y CONVIVEN,3,0,,1
134263,26/01/2021 7:17:20 p. m.,73,4,"3,66",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,27/12/2003 12:00:00 a. m.,68001,BUCARAMANGA,,0,0,,,,,
134261,26/01/2021 7:17:20 p. m.,11,1,"3,73",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,29/06/2001 12:00:00 a. m.,68001,BUCARAMANGA,4,0,1,VIVOS Y CONVIVEN,6,2,3,3
134262,26/01/2021 7:17:20 p. m.,15,1,"2,02",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,14/09/2001 12:00:00 a. m.,68001,BUCARAMANGA,2,0,1,VIVOS Y CONVIVEN,4,1,1,1
134490,27/01/2021 4:08:31 p. m.,33,2,"3,74",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,19/03/2003 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y CONVIVEN,4,1,1,1
134487,27/01/2021 4:08:31 p. m.,108,6,"3,92",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,17/07/2001 12:00:00 a. m.,68001,BUCARAMANGA,3,1,1,VIVOS Y CONVIVEN,4,1,2,2
134485,27/01/2021 4:08:31 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,6/01/2001 12:00:00 a. m.,68307,GIRON,2,0,0,,,,,
134491,27/01/2021 4:08:31 p. m.,23,2,"3,21",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,12/12/2003 12:00:00 a. m.,68001,BUCARAMANGA,,0,0,,,,,
134488,27/01/2021 4:08:31 p. m.,2,1,"3,1",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,11/02/2004 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y SEPARADOS,3,1,2,1
134489,27/01/2021 4:08:31 p. m.,91,6,"3,65",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,31/08/2003 12:00:00 a. m.,68307,GIRON,1,1,0,VIVOS Y CONVIVEN,4,0,0,3
134494,27/01/2021 4:08:32 p. m.,21,2,"3,7",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,19/06/2003 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,4,1,1,1
134495,27/01/2021 4:08:32 p. m.,45,3,"3,26",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,14/06/2002 12:00:00 a. m.,68001,BUCARAMANGA,4,0,1,VIVOS Y CONVIVEN,4,2,2,3
134493,27/01/2021 4:08:32 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,23/01/2000 12:00:00 a. m.,68418,LOS SANTOS,1,1,1,VIVOS Y CONVIVEN,5,2,1,1
134492,27/01/2021 4:08:32 p. m.,19,1,"2,89",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,10/05/2003 12:00:00 a. m.,68547,PIEDECUESTA,,0,0,,,,,
134503,27/01/2021 4:24:19 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,30/07/2002 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y SEPARADOS,7,1,1,2
134499,27/01/2021 4:24:19 p. m.,108,6,"3,76",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,2/06/2002 12:00:00 a. m.,68547,PIEDECUESTA,1,1,1,VIVOS Y SEPARADOS,6,4,1,1
134502,27/01/2021 4:24:19 p. m.,7,1,"3,89",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,3/07/2004 12:00:00 a. m.,68406,LEBRIJA,1,1,1,VIVOS Y CONVIVEN,5,2,3,2
134500,27/01/2021 4:24:19 p. m.,39,2,"4,45",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,7/04/1986 12:00:00 a. m.,68001,BUCARAMANGA,1,0,0,VIVOS Y SEPARADOS,3,,,2
134505,27/01/2021 4:24:19 p. m.,108,6,"4,09",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,3/11/2001 12:00:00 a. m.,68001,BUCARAMANGA,3,0,1,MADRE VIVA - PADRE DIFUNTO,3,1,1,2
134530,27/01/2021 5:06:28 p. m.,23,2,"4,04",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,17/08/1995 12:00:00 a. m.,68001,BUCARAMANGA,3,0,1,VIVOS Y CONVIVEN,5,2,2,3
134625,28/01/2021 3:17:19 p. m.,29,2,"3,37",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,19/01/1990 12:00:00 a. m.,68001,BUCARAMANGA,2,0,1,VIVOS Y SEPARADOS,5,3,2,5
134636,28/01/2021 5:45:56 p. m.,61,4,"3,39",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,5/05/2004 12:00:00 a. m.,68615,RIONEGRO,2,1,1,VIVOS Y CONVIVEN,4,2,1,2
